iter	Passed	Remaining
0	71	14129
1	84	8396
2	99	6501
3	113	5576
4	128	5006
5	143	4631
6	159	4392
7	174	4185
8	187	3986
9	200	3817
10	213	3669
11	226	3553
12	239	3450
13	253	3364
14	266	3290
15	280	3231
16	294	3169
17	308	3121
18	322	3069
19	336	3028
20	348	2972
21	361	2923
22	375	2885
23	388	2852
24	402	2815
25	415	2779
26	428	2743
27	440	2708
28	454	2682
29	469	2659
30	482	2632
31	496	2607
32	512	2593
33	526	2569
34	540	2547
35	554	2528
36	575	2533
37	592	2527
38	614	2538
39	633	2532
40	657	2549
41	671	2524
42	684	2499
43	696	2470
44	709	2443
45	721	2416
46	735	2392
47	748	2369
48	761	2347
49	774	2322
50	787	2300
51	801	2280
52	814	2259
53	828	2239
54	840	2216
55	854	2196
56	868	2178
57	881	2158
58	895	2139
59	908	2120
60	922	2101
61	935	2083
62	949	2063
63	962	2045
64	975	2026
65	988	2007
66	1001	1988
67	1014	1970
68	1027	1951
69	1041	1934
70	1053	1914
71	1066	1896
72	1080	1879
73	1093	1861
74	1105	1843
75	1119	1826
76	1132	1809
77	1147	1795
78	1160	1777
79	1173	1760
80	1186	1742
81	1200	1726
82	1213	1710
83	1227	1694
84	1242	1680
85	1258	1668
86	1275	1656
87	1293	1646
88	1313	1638
89	1330	1626
90	1346	1613
91	1360	1597
92	1373	1580
93	1387	1564
94	1401	1548
95	1414	1532
96	1428	1517
97	1443	1501
98	1456	1486
99	1469	1469
100	1484	1455
101	1489	1431
102	1502	1415
103	1517	1400
104	1532	1386
105	1545	1370
106	1559	1355
107	1572	1339
108	1585	1323
109	1599	1308
110	1612	1293
111	1625	1277
112	1640	1263
113	1654	1247
114	1666	1231
115	1680	1216
116	1693	1201
117	1706	1185
118	1719	1170
119	1737	1158
120	1749	1142
121	1763	1127
122	1775	1111
123	1788	1096
124	1801	1080
125	1814	1065
126	1828	1050
127	1841	1035
128	1854	1020
129	1867	1005
130	1880	990
131	1893	975
132	1906	960
133	1919	945
134	1932	930
135	1946	916
136	1963	902
137	1980	889
138	1997	876
139	2013	862
140	2029	849
141	2044	835
142	2057	820
143	2070	805
144	2083	790
145	2095	775
146	2113	762
147	2126	746
148	2139	732
149	2152	717
150	2166	702
151	2178	688
152	2191	673
153	2204	658
154	2217	643
155	2229	628
156	2243	614
157	2255	599
158	2268	584
159	2281	570
160	2295	555
161	2308	541
162	2321	526
163	2335	512
164	2348	498
165	2361	483
166	2374	469
167	2387	454
168	2400	440
169	2414	426
170	2426	411
171	2439	397
172	2453	382
173	2466	368
174	2479	354
175	2493	339
176	2505	325
177	2518	311
178	2532	297
179	2545	282
180	2558	268
181	2572	254
182	2586	240
183	2599	226
184	2612	211
185	2625	197
186	2638	183
187	2651	169
188	2664	155
189	2678	140
190	2690	126
191	2702	112
192	2715	98
193	2728	84
194	2741	70
195	2754	56
196	2768	42
197	2781	28
198	2794	14
199	2806	0
