iter	Passed	Remaining
0	12	12097
1	24	12372
2	35	11945
3	47	11782
4	59	11748
5	70	11721
6	82	11757
7	93	11590
8	105	11656
9	118	11690
10	130	11700
11	142	11730
12	156	11849
13	169	11927
14	181	11890
15	193	11875
16	205	11866
17	215	11772
18	227	11737
19	238	11693
20	250	11672
21	259	11551
22	271	11531
23	282	11479
24	293	11464
25	304	11419
26	317	11435
27	331	11524
28	344	11545
29	357	11553
30	369	11544
31	380	11519
32	391	11475
33	401	11417
34	413	11402
35	425	11402
36	436	11363
37	447	11318
38	457	11283
39	469	11263
40	479	11222
41	491	11200
42	502	11175
43	513	11153
44	524	11120
45	535	11096
46	544	11050
47	556	11041
48	567	11018
49	577	10978
50	589	10974
51	600	10940
52	610	10915
53	621	10887
54	630	10839
55	641	10809
56	651	10782
57	662	10759
58	673	10742
59	685	10742
60	698	10750
61	708	10725
62	719	10706
63	730	10679
64	741	10663
65	753	10656
66	765	10653
67	776	10646
68	787	10629
69	797	10599
70	807	10568
71	816	10527
72	827	10514
73	838	10493
74	848	10459
75	856	10418
76	867	10404
77	879	10397
78	890	10384
79	901	10372
80	912	10356
81	923	10337
82	932	10301
83	942	10282
84	952	10254
85	963	10235
86	975	10235
87	985	10215
88	999	10233
89	1011	10226
90	1022	10216
91	1033	10195
92	1043	10173
93	1054	10166
94	1066	10160
95	1079	10162
96	1091	10163
97	1103	10156
98	1114	10144
99	1127	10143
100	1138	10135
101	1150	10132
102	1162	10120
103	1176	10139
104	1187	10126
105	1197	10101
106	1208	10085
107	1219	10070
108	1230	10059
109	1240	10037
110	1250	10014
111	1262	10010
112	1273	9995
113	1284	9985
114	1296	9978
115	1307	9966
116	1319	9958
117	1328	9926
118	1339	9915
119	1350	9905
120	1361	9893
121	1372	9880
122	1384	9871
123	1395	9861
124	1406	9846
125	1416	9826
126	1427	9809
127	1437	9791
128	1447	9770
129	1458	9761
130	1470	9752
131	1483	9752
132	1493	9737
133	1504	9723
134	1514	9704
135	1526	9698
136	1535	9669
137	1545	9654
138	1556	9639
139	1569	9642
140	1579	9624
141	1590	9610
142	1601	9596
143	1614	9596
144	1624	9579
145	1635	9566
146	1646	9551
147	1658	9545
148	1668	9527
149	1678	9512
150	1689	9497
151	1699	9480
152	1710	9470
153	1721	9457
154	1730	9435
155	1741	9421
156	1751	9403
157	1762	9392
158	1771	9372
159	1781	9352
160	1792	9339
161	1801	9319
162	1814	9316
163	1825	9306
164	1833	9280
165	1845	9274
166	1857	9265
167	1869	9257
168	1881	9251
169	1890	9230
170	1904	9231
171	1913	9211
172	1924	9197
173	1935	9187
174	1944	9165
175	1954	9148
176	1966	9141
177	1976	9127
178	1987	9117
179	1997	9101
180	2007	9082
181	2016	9062
182	2027	9053
183	2038	9038
184	2050	9031
185	2063	9031
186	2074	9018
187	2085	9006
188	2096	8995
189	2106	8981
190	2116	8965
191	2128	8957
192	2138	8941
193	2149	8931
194	2160	8917
195	2169	8897
196	2180	8890
197	2192	8879
198	2203	8867
199	2214	8858
200	2224	8840
201	2234	8828
202	2245	8815
203	2255	8801
204	2267	8792
205	2279	8785
206	2292	8780
207	2302	8768
208	2314	8760
209	2325	8748
210	2336	8735
211	2348	8727
212	2360	8722
213	2371	8711
214	2382	8697
215	2393	8686
216	2405	8678
217	2415	8666
218	2425	8650
219	2435	8635
220	2447	8625
221	2457	8614
222	2470	8607
223	2480	8594
224	2493	8589
225	2503	8572
226	2514	8562
227	2526	8554
228	2537	8542
229	2549	8534
230	2559	8520
231	2569	8507
232	2579	8492
233	2591	8482
234	2602	8471
235	2614	8465
236	2625	8453
237	2636	8441
238	2649	8437
239	2660	8425
240	2673	8419
241	2684	8409
242	2696	8400
243	2708	8393
244	2719	8380
245	2730	8369
246	2742	8360
247	2752	8347
248	2764	8338
249	2774	8322
250	2784	8309
251	2796	8301
252	2808	8291
253	2819	8279
254	2829	8267
255	2842	8261
256	2852	8247
257	2864	8238
258	2875	8228
259	2888	8220
260	2898	8207
261	2908	8193
262	2918	8179
263	2929	8166
264	2940	8156
265	2951	8144
266	2960	8126
267	2971	8115
268	2983	8106
269	2994	8095
270	3006	8087
271	3016	8074
272	3028	8064
273	3039	8053
274	3050	8041
275	3058	8023
276	3067	8006
277	3079	7996
278	3089	7984
279	3098	7968
280	3108	7954
281	3116	7934
282	3124	7915
283	3132	7897
284	3140	7879
285	3149	7862
286	3157	7844
287	3165	7824
288	3172	7804
289	3180	7786
290	3188	7767
291	3196	7749
292	3203	7730
293	3212	7713
294	3219	7694
295	3227	7676
296	3235	7659
297	3242	7638
298	3250	7619
299	3257	7600
300	3265	7582
301	3272	7563
302	3280	7546
303	3288	7529
304	3296	7512
305	3304	7493
306	3313	7480
307	3321	7462
308	3329	7446
309	3338	7430
310	3346	7413
311	3355	7400
312	3364	7384
313	3372	7367
314	3380	7351
315	3388	7335
316	3396	7319
317	3404	7301
318	3411	7283
319	3419	7267
320	3428	7252
321	3436	7235
322	3444	7219
323	3452	7202
324	3459	7186
325	3466	7167
326	3474	7151
327	3482	7135
328	3490	7118
329	3499	7104
330	3507	7088
331	3516	7075
332	3524	7059
333	3531	7041
334	3539	7026
335	3547	7010
336	3555	6994
337	3563	6980
338	3572	6965
339	3579	6948
340	3587	6933
341	3595	6916
342	3602	6900
343	3611	6886
344	3619	6871
345	3627	6856
346	3635	6841
347	3643	6825
348	3650	6809
349	3659	6796
350	3667	6781
351	3676	6767
352	3683	6751
353	3690	6734
354	3697	6718
355	3706	6705
356	3714	6690
357	3721	6674
358	3730	6660
359	3737	6643
360	3745	6629
361	3752	6614
362	3760	6599
363	3768	6584
364	3775	6568
365	3784	6555
366	3792	6540
367	3799	6524
368	3808	6512
369	3817	6499
370	3825	6486
371	3833	6472
372	3841	6457
373	3849	6443
374	3856	6427
375	3864	6412
376	3872	6399
377	3880	6386
378	3888	6371
379	3895	6356
380	3903	6341
381	3910	6326
382	3918	6312
383	3926	6298
384	3934	6285
385	3942	6271
386	3950	6258
387	3959	6244
388	3967	6231
389	3975	6218
390	3983	6204
391	3991	6191
392	4001	6179
393	4009	6166
394	4016	6151
395	4023	6136
396	4031	6123
397	4038	6108
398	4046	6094
399	4053	6080
400	4061	6066
401	4068	6051
402	4076	6038
403	4083	6024
404	4091	6011
405	4099	5998
406	4107	5984
407	4115	5972
408	4123	5958
409	4130	5943
410	4137	5930
411	4144	5915
412	4152	5901
413	4160	5888
414	4169	5877
415	4177	5864
416	4185	5851
417	4193	5839
418	4202	5826
419	4209	5813
420	4217	5800
421	4225	5787
422	4234	5775
423	4241	5761
424	4250	5750
425	4258	5738
426	4266	5724
427	4274	5712
428	4281	5699
429	4289	5685
430	4296	5672
431	4304	5660
432	4312	5646
433	4320	5633
434	4327	5620
435	4335	5608
436	4343	5595
437	4352	5584
438	4359	5571
439	4369	5560
440	4377	5548
441	4385	5536
442	4393	5524
443	4401	5511
444	4409	5499
445	4417	5487
446	4425	5475
447	4434	5463
448	4441	5450
449	4451	5440
450	4459	5429
451	4467	5416
452	4476	5404
453	4482	5390
454	4490	5378
455	4499	5367
456	4507	5355
457	4515	5343
458	4523	5331
