iter	Passed	Remaining
0	39	7881
1	57	5683
2	73	4854
3	91	4503
4	107	4201
5	127	4125
6	144	3990
7	171	4105
8	186	3957
9	201	3832
10	217	3734
11	233	3660
12	248	3578
13	263	3506
14	280	3456
15	295	3398
16	309	3329
17	324	3283
18	340	3245
19	355	3200
20	370	3155
21	385	3117
22	400	3082
23	419	3074
24	436	3052
25	450	3015
26	464	2977
27	479	2943
28	493	2908
29	508	2878
30	523	2852
31	538	2825
32	553	2801
33	569	2778
34	584	2754
35	610	2781
36	624	2750
37	640	2729
38	657	2713
39	673	2692
40	697	2705
41	714	2686
42	742	2712
43	758	2690
44	776	2673
45	792	2652
46	808	2631
47	847	2682
48	861	2656
49	887	2663
50	907	2650
51	924	2630
52	938	2603
53	953	2578
54	967	2551
55	983	2529
56	998	2506
57	1013	2481
58	1028	2457
59	1052	2456
60	1067	2431
61	1089	2425
62	1102	2397
63	1118	2377
64	1133	2353
65	1147	2329
66	1161	2306
67	1178	2287
68	1193	2266
69	1207	2242
70	1221	2219
71	1236	2198
72	1251	2177
73	1265	2155
74	1281	2136
75	1296	2115
76	1312	2096
77	1334	2087
78	1351	2069
79	1372	2059
80	1389	2040
81	1420	2043
82	1434	2022
83	1449	2001
84	1467	1985
85	1483	1966
86	1499	1947
87	1522	1937
88	1541	1922
89	1573	1923
90	1607	1925
91	1622	1904
92	1648	1896
93	1662	1874
94	1676	1853
95	1690	1831
96	1706	1811
97	1721	1791
98	1744	1779
99	1758	1758
100	1780	1745
101	1787	1717
102	1806	1701
103	1822	1682
104	1859	1682
105	1875	1663
106	1890	1643
107	1907	1625
108	1922	1604
109	1938	1586
110	1954	1567
111	1986	1560
112	1999	1539
113	2013	1519
114	2028	1499
115	2042	1479
116	2057	1459
117	2073	1440
118	2088	1421
119	2110	1406
120	2133	1392
121	2148	1373
122	2165	1355
123	2180	1336
124	2193	1316
125	2208	1296
126	2223	1277
127	2238	1259
128	2252	1239
129	2270	1222
130	2285	1204
131	2301	1185
132	2316	1167
133	2331	1148
134	2346	1129
135	2360	1110
136	2374	1092
137	2390	1074
138	2405	1055
139	2421	1037
140	2436	1019
141	2450	1001
142	2464	982
143	2478	963
144	2492	945
145	2507	927
146	2522	909
147	2536	891
148	2551	873
149	2567	855
150	2582	838
151	2601	821
152	2615	803
153	2632	786
154	2648	768
155	2662	750
156	2693	737
157	2709	720
158	2725	702
159	2742	685
160	2766	670
161	2782	652
162	2797	634
163	2812	617
164	2840	602
165	2856	585
166	2870	567
167	2885	549
168	2900	532
169	2915	514
170	2929	496
171	2945	479
172	2960	462
173	2974	444
174	2988	426
175	3004	409
176	3018	392
177	3037	375
178	3052	358
179	3076	341
180	3090	324
181	3106	307
182	3120	289
183	3145	273
184	3159	256
185	3174	238
186	3188	221
187	3202	204
188	3217	187
189	3232	170
190	3246	152
191	3261	135
192	3277	118
193	3292	101
194	3307	84
195	3322	67
196	3338	50
197	3352	33
198	3368	16
199	3384	0
