iter	Logloss
0	0.5614900561
1	0.4646753117
2	0.399635764
3	0.3532783657
4	0.322966141
5	0.2928466483
6	0.2746328214
7	0.2563465624
8	0.242958964
9	0.2329633022
10	0.22400175
11	0.2169768795
12	0.2095976068
13	0.2039987836
14	0.1991575476
15	0.1933756234
16	0.1900693083
17	0.1860099586
18	0.1822313483
19	0.1779104976
20	0.1759833707
21	0.1736535927
22	0.1708714537
23	0.1680716512
24	0.1660614655
25	0.1638621251
26	0.162422195
27	0.16084279
28	0.1588640834
29	0.156502395
30	0.1552781169
31	0.1538017794
32	0.1523999406
33	0.1505876601
34	0.1488842786
35	0.147450433
36	0.1464808414
37	0.1454712034
38	0.1441933675
39	0.1424937384
40	0.1412490408
41	0.14003845
42	0.1389917348
43	0.1385758999
44	0.1377392094
45	0.1370829941
46	0.1359028088
47	0.1348137847
48	0.134104662
49	0.1332365528
50	0.1324954258
51	0.1307457673
52	0.1298305346
53	0.1292166894
54	0.1287581328
55	0.1278096327
56	0.1271724895
57	0.1267199921
58	0.1259267914
59	0.1253679738
60	0.124593035
61	0.1236727228
62	0.1230453316
63	0.1221315457
64	0.1217487661
65	0.121051652
66	0.1205955342
67	0.1199912956
68	0.1192833839
69	0.1186599968
70	0.1183023399
71	0.117663808
72	0.1169930822
73	0.1167229122
74	0.1163015668
75	0.1151489978
76	0.1145538099
77	0.1132852074
78	0.1129580606
79	0.1122956889
80	0.1118464739
81	0.1111790331
82	0.1107575115
83	0.1103086845
84	0.1097240834
85	0.1095555193
86	0.1089323172
87	0.1085940054
88	0.1081537038
89	0.1078899725
90	0.1073690609
91	0.1072457532
92	0.1065376912
93	0.106055949
94	0.1055302835
95	0.1052146821
96	0.1047021473
97	0.103891655
98	0.1034735216
99	0.1029953947
100	0.1023059191
101	0.1022574609
102	0.1015281168
103	0.1011017077
104	0.1002715414
105	0.09989557933
106	0.09963170722
107	0.09916204504
108	0.09869911697
109	0.09804504361
110	0.09780143382
111	0.09728351875
112	0.09684556896
113	0.0964106596
114	0.09597137681
115	0.09543803943
116	0.09498222376
117	0.09470794959
118	0.0942011297
119	0.09374712941
120	0.09352761068
121	0.09263372143
122	0.09217597004
123	0.09151602693
124	0.09106305171
125	0.09052042088
126	0.09005195091
127	0.08961169704
128	0.08925006077
129	0.0890330395
130	0.08857092255
131	0.0883092434
132	0.08789404949
133	0.08751070485
134	0.08721096483
135	0.08684770457
136	0.0866937946
137	0.08590711207
138	0.08570177134
139	0.08542835509
140	0.08509793674
141	0.08484044123
142	0.08458022377
143	0.08427103325
144	0.08405817165
145	0.08379630947
146	0.08335920869
147	0.08311067313
148	0.08264961211
149	0.08210744333
150	0.08159324105
151	0.08137724552
152	0.08119302263
153	0.08088974227
154	0.08044443995
155	0.08021546337
156	0.07992082333
157	0.0797199361
158	0.07958509132
159	0.07929589888
160	0.07905246155
161	0.07885463128
162	0.07863070855
163	0.07825801091
164	0.07810009722
165	0.0777976051
166	0.07735973401
167	0.07708525461
168	0.07677971919
169	0.07645159487
170	0.07616786274
171	0.07586317524
172	0.0754409776
173	0.07521935063
174	0.07491294297
175	0.07472587705
176	0.07452075615
177	0.07431533346
178	0.07402788595
179	0.0737759463
180	0.07351599852
181	0.0732392405
182	0.07288770496
183	0.0726626189
184	0.07246050827
185	0.07226409633
186	0.07201989135
187	0.07184238561
188	0.07167595942
189	0.07127797673
190	0.07114766118
191	0.07095690879
192	0.07062422445
193	0.07040181771
194	0.07031022786
195	0.07002509981
196	0.06960004724
197	0.06948454528
198	0.06929979045
199	0.06909885017
