iter	Logloss
0	0.5627684775
1	0.4726141597
2	0.4024731999
3	0.3543679915
4	0.316294981
5	0.2892208069
6	0.2715566182
7	0.2556386694
8	0.2426089757
9	0.2306891672
10	0.2222306723
11	0.2143165998
12	0.2073707971
13	0.2019605715
14	0.1955627694
15	0.1895486441
16	0.1861811049
17	0.1827673318
18	0.1785982428
19	0.1759730877
20	0.173955208
21	0.1710944455
22	0.1692860161
23	0.1672996081
24	0.1653207893
25	0.1632673551
26	0.1615195389
27	0.1595678285
28	0.155912032
29	0.1549581834
30	0.1531621636
31	0.1527486208
32	0.1511388577
33	0.1501386072
34	0.1486416403
35	0.1474887247
36	0.1465522579
37	0.1458177842
38	0.1448187431
39	0.1442197345
40	0.1420435786
41	0.1406961188
42	0.1397928235
43	0.1390610322
44	0.1386944969
45	0.1380170569
46	0.1368295603
47	0.1362901795
48	0.1349835247
49	0.1344358895
50	0.1337379643
51	0.1327861825
52	0.132174988
53	0.1313831094
54	0.1305990429
55	0.1301238184
56	0.1295158779
57	0.1287334864
58	0.1281326709
59	0.1279019237
60	0.1276438892
61	0.1268650475
62	0.1264189827
63	0.125622546
64	0.1254287134
65	0.1247990073
66	0.124061961
67	0.1234995444
68	0.1227810176
69	0.1223102391
70	0.1214634927
71	0.1212285594
72	0.1207130531
73	0.120292104
74	0.1195201718
75	0.1190274203
76	0.1187396381
77	0.1184069409
78	0.1180612704
79	0.1175709248
80	0.1168517052
81	0.1165695473
82	0.1160629204
83	0.1156318454
84	0.1151057444
85	0.1146306576
86	0.114434557
87	0.1142884374
88	0.1140660196
89	0.1136785856
90	0.1134089643
91	0.1132116834
92	0.1127602141
93	0.1123193429
94	0.1114284862
95	0.1107583013
96	0.1103423394
97	0.1098850542
98	0.1095132135
99	0.1090513288
100	0.1087252919
101	0.1084310046
102	0.1077547273
103	0.1075415864
104	0.1070353158
105	0.106454592
106	0.1059523699
107	0.1051216883
108	0.1044540729
109	0.1042079991
110	0.1039789399
111	0.1033119644
112	0.1027004738
113	0.1023697157
114	0.1019341576
115	0.1015204871
116	0.1007631014
117	0.100322132
118	0.09989627807
119	0.09964380018
120	0.09948137874
121	0.09904650592
122	0.09871941063
123	0.09846558765
124	0.09815797388
125	0.09769129685
126	0.0971097304
127	0.09690105211
128	0.09650652727
129	0.09604123321
130	0.09563058581
131	0.09529334206
132	0.09498257434
133	0.0946438642
134	0.09432347075
135	0.09367934356
136	0.0932644279
137	0.09268733943
138	0.0923836453
139	0.09198447428
140	0.091465398
141	0.09141195402
142	0.09112368232
143	0.09058331403
144	0.09055545916
145	0.09013468681
146	0.08972308064
147	0.0894233848
148	0.08908347572
149	0.08888197952
150	0.0888418597
151	0.08845119288
152	0.08823322308
153	0.08784787489
154	0.0875488677
155	0.08745613709
156	0.08740504194
157	0.08706952653
158	0.08677192918
159	0.08648661887
160	0.08606047545
161	0.08578990008
162	0.08571885093
163	0.08525847224
164	0.08485850723
165	0.08478959824
166	0.08432636578
167	0.08412713931
168	0.08393007036
169	0.08361069599
170	0.08343551325
171	0.08316216429
172	0.08291689384
173	0.08264411078
174	0.08236732567
175	0.08212590044
176	0.08168353881
177	0.08140635541
178	0.08099747854
179	0.08042862611
180	0.08020806766
181	0.08000248767
182	0.07976415888
183	0.07955416762
184	0.07901827026
185	0.0788729478
186	0.07861833745
187	0.07837932661
188	0.07815605647
189	0.07808122354
190	0.07789625862
191	0.0775742377
192	0.07744252062
193	0.07723508309
194	0.07714599828
195	0.07696419067
196	0.07666224352
197	0.07649415171
198	0.07625753815
199	0.07610063167
