Feature,Score,Neighbor 1, Neighbor 1 score,Neighbor 2, Neighbor 2 score,Neighbor 3, Neighbor 3 score,Neighbor 4, Neighbor 4 score,Neighbor 5, Neighbor 5 score,Neighbor 6, Neighbor 6 score,Neighbor 7, Neighbor 7 score,Neighbor 8, Neighbor 8 score,Neighbor 9, Neighbor 9 score,Neighbor 10, Neighbor 10 score,
qty_slash_directory,1.0,qty_slash_url,0.9573552,directory_length,0.7704692,qty_dot_directory,0.70247084,qty_dot_file,0.6937419,qty_hyphen_directory,0.68684715,qty_underline_directory,0.6687908,qty_equal_directory,0.6487711,qty_tilde_directory,0.64513046,qty_underline_file,0.6447906,qty_and_directory,0.64435977
qty_underline_file,0.834325,qty_underline_directory,0.8186735,qty_tilde_file,0.80711955,qty_questionmark_directory,0.8070796,qty_hashtag_directory,0.8070796,qty_slash_file,0.8070796,qty_questionmark_file,0.8070796,qty_hashtag_file,0.8070796,qty_dollar_file,0.8070796,qty_asterisk_file,0.80693203,qty_comma_directory,0.80692565
qty_slash_url,0.7913432,qty_slash_directory,0.9573552,directory_length,0.79776853,length_url,0.6519849,qty_dot_directory,0.62956345,qty_dot_file,0.61473054,qty_hyphen_directory,0.6044448,qty_underline_directory,0.56237817,qty_equal_directory,0.53040105,qty_underline_file,0.5302003,qty_hyphen_file,0.52832526
directory_length,0.77506953,qty_slash_url,0.79776853,qty_slash_directory,0.7704692,length_url,0.7488586,file_length,0.5868402,qty_dot_directory,0.57947093,qty_dot_file,0.5512469,qty_hyphen_directory,0.5417758,qty_underline_directory,0.45573124,qty_hyphen_file,0.42673728,qty_underline_file,0.4135779
qty_hyphen_file,0.65675575,qty_at_directory,0.7914826,qty_equal_file,0.7913225,qty_at_file,0.79109865,qty_comma_directory,0.79109406,qty_comma_file,0.79108554,qty_questionmark_directory,0.791022,qty_hashtag_directory,0.791022,qty_slash_file,0.791022,qty_questionmark_file,0.791022,qty_hashtag_file,0.791022
time_domain_activation,0.6223516,time_domain_expiration,0.46975994,qty_slash_directory,0.37399557,qty_dot_file,0.36853558,qty_dot_directory,0.36384192,qty_vowels_domain,0.35553822,qty_slash_url,0.3519607,domain_length,0.3399909,qty_mx_servers,0.3391743,qty_hyphen_directory,0.33666223,qty_dot_domain,0.3347394
qty_dot_file,0.5298866,qty_dot_directory,0.93274856,qty_underline_file,0.69914454,qty_underline_directory,0.69808483,qty_tilde_directory,0.69755787,qty_at_file,0.6975379,qty_comma_directory,0.6973676,qty_comma_file,0.6973562,qty_plus_directory,0.6973343,qty_plus_file,0.6973153,qty_space_file,0.69727236
length_url,0.4040101,directory_length,0.7488586,qty_slash_url,0.6519849,qty_slash_directory,0.6130738,qty_dot_directory,0.5050618,file_length,0.49378374,qty_dot_file,0.48200116,qty_hyphen_directory,0.4495435,qty_dot_url,0.40535188,qty_vowels_domain,0.37977108,qty_underline_directory,0.37881556
qty_dot_directory,0.28975895,qty_dot_file,0.93274856,qty_slash_directory,0.70247084,qty_underline_directory,0.68369806,qty_and_directory,0.6815449,qty_tilde_directory,0.6807984,qty_and_file,0.6804484,qty_underline_file,0.6799655,qty_comma_directory,0.67994654,qty_at_directory,0.67986,qty_equal_directory,0.67951703
qty_dot_domain,0.028029883,qty_dot_url,0.57697546,domain_length,0.38914612,qty_vowels_domain,0.3455376,qty_slash_directory,0.34156886,qty_dot_directory,0.33581033,domain_spf,0.3355142,time_domain_activation,0.3347394,qty_dot_file,0.33337086,qty_slash_url,0.33131468,time_response,0.31933832
